,author,statement,source,date,target
0,Monique Curet,"""Special Forces arrest Deep State Dr. Anthony Fauci.""",Instagram posts,"April 12, 2022",pants-fire
1,Warren Fiske,“The proposed (Virginia) House budget cuts hundreds of millions in funding for public education…”,Democratic Party of Virginia,"April 12, 2022",false
2,Tom Kertscher,“Mike Lee advised Trump's legal challenges to overturn our election” and “was one of only two senators who was in on the scheme.”,Evan McMullin,"April 11, 2022",half-true
3,Monique Curet,"As with people vaccinated against COVID-19, “many people who were NOT vaccinated also experienced zero or mild symptoms.”",Facebook posts,"April 11, 2022",barely-true
4,Yacob Reyes,New York City is “wasting taxpayer money on” billboards in Florida.,Ron DeSantis,"April 11, 2022",false
5,Gabrielle Settles,Disney CEO Bob Chapek was arrested for human trafficking.,Instagram posts,"April 8, 2022",pants-fire
6,Andy Nguyen,"“With the money Elon Musk spent to buy Twitter shares, he could have given every American family $100,000 and still had enough left over to cancel all student debt.”",Tweets,"April 8, 2022",pants-fire
7,Jeff Cercone,2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,Facebook posts,"April 8, 2022",false
8,Monique Curet,“German perverts open bestiality brothels.”,Michael Knowles,"April 8, 2022",false
9,D.L. Davis,"""The price of insulin has been jacked up by Big Drug Corporations.”",Tammy Baldwin,"April 8, 2022",half-true
10,Ciara O'Rourke,Photo shows someone in a swastika shirt giving a Nazi salute at a recent Donald Trump rally.,Viral image,"April 8, 2022",pants-fire
11,Samantha Putterman,John D. Rockefeller coined the term “fossil fuel” to trick people into thinking that his product was scarce and drive up the price when fossil fuels are actually “the second most abundant liquid on the planet.”,Facebook posts,"April 8, 2022",false
12,Tom Kertscher,"“A secret backroom deal"" gave ""away hundreds of millions of tax dollars to a Soros-owned company.""",David Perdue,"April 8, 2022",barely-true
13,Monique Curet,Schools are putting litter boxes in bathrooms to accommodate kids who identify as furries.,Facebook posts,"April 8, 2022",pants-fire
14,Amy Sherman,"“Joe Biden’s open border” means that there are “more Democrat voters pouring into this country.""",J.D. Vance,"April 8, 2022",false
15,Madeline Heim,"“Over the course of two months, Tony Evers refused to remove (Curtis Schmitt Jr.) from the (state’s veterans) Board despite having the authority to do (so).”",Kevin Nicholson,"April 8, 2022",false
16,Jeff Cercone,Twitter employee named Jackson Mulholland resigned in a tweet after Elon Musk joined the company’s board.,Facebook posts,"April 7, 2022",false
17,Monique Curet,"""Volodymyr Zelenskyy is a cousin of George Soros, Pentagon official says.""",Facebook posts,"April 7, 2022",pants-fire
18,Sara Swann,"“Colorado Governor Jared Polis has just signed into law a bill legalizing abortions through all nine months, up until the moment of birth.”",Facebook posts,"April 7, 2022",false
19,Gabrielle Settles,"“Want a healthy, happy baby? Skip the Well Baby visits. They… make your baby sick.”",Facebook posts,"April 7, 2022",false
20,Jeff Cercone,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,Instagram posts,"April 7, 2022",false
21,Lauren White,Only 2% of K-12 students would benefit from Iowa’s school voucher bill.,Jennifer Konfrst,"April 7, 2022",true
22,Ciara O'Rourke,"Says Tucker Carlson said, “What if these bodies of tortured, dead civilians were staged? What if they’re fake? What if the Ukrainian military killed them & then blamed Russia? I’m not saying any of this is true, I’m just asking the questions. Why can’t we ask these questions?”",Tweets,"April 7, 2022",false
23,Bill McCarthy,"Josh Mandel doctored an image in a campaign ad but ""forgot to Photoshop the hands that clearly show he put his face on the body of a Black soldier.""",Occupy Democrats,"April 7, 2022",false
24,Monique Curet,"""Biden changes his mind and now wants to resume building Trump’s wall.""",Facebook posts,"April 7, 2022",false
25,Monique Curet,Sudden death in adults and Sudden Infant Death Syndrome are caused by vaccines.,Facebook posts,"April 6, 2022",false
26,Monique Curet,A photo shows a helicopter rescue mission in Afghanistan where wounded men were loaded onboard.,Facebook posts,"April 6, 2022",false
27,Jon Greenberg,"Says Sens. Lisa Murkowski, Susan Collins and Mitt Romney “are pro-pedophile.”",Marjorie Taylor Greene,"April 6, 2022",pants-fire
28,Tom Gaughan,"Gov. Kathy Hochul’s “record” includes “firing” 34,000 health care workers.",Rob Astorino,"April 6, 2022",half-true
29,Jon Greenberg,"In cutting greenhouse gas emissions, the United States is “the leader in the world by far.”",Dan Sullivan,"April 6, 2022",half-true
